Symbol
AAPL
ABBV
ABT
ACN
ADBE
AIG
AMD
AMGN
AMT
AMZN
AXP
BA
BAC
BAX
BDX
BK
BKNG
BLK
BMY
C
CAT
CL
CMCSA
COF
COP
COST
CRM
CSCO
CVS
CVX
DHR
DIS
DOW
DUK
EXC
FDX
GD
GE
GILD
GM
GOOG
GOOGL
GS
HAL
HD
HON
IBM
INTC
INTU
ISRG
JNJ
JPM
KHC
KMI
KO
LIN
LLY
LMT
LOW
MA
MCD
MDT
MET
META
MMM
MO
MRK
MS
MSFT
NEE
NFLX
NKE
NVDA
ORCL
OXY
PEP
PFE
PG
PM
PYPL
QCOM
RTX
SBUX
SPG
T
TGT
TMO
TMUS
TSLA
TXN
UNH
UNP
UPS
V
VZ
WFC
WMT
XOM
